numero_controle,contract_id,missing_fields_count,missing_fields
00113035000218-1-000020/2024,773640,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00114819000180-1-000008/2025,1249764,2,linkProcessoEletronico;fontesOrcamentarias
00145789000179-1-000237/2025,1208947,2,linkProcessoEletronico;fontesOrcamentarias
00163055000112-1-000015/2024,346984,2,linkProcessoEletronico;fontesOrcamentarias
00163055000112-1-000116/2025,1254581,2,linkProcessoEletronico;fontesOrcamentarias
00163147000100-1-000045/2025,1252484,2,linkProcessoEletronico;fontesOrcamentarias
00167437000114-1-000198/2025,1158033,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00167437000114-1-000199/2025,1242080,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00167437000114-1-000202/2025,1242083,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00167437000114-1-000206/2025,1258575,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00177279000183-1-000006/2025,1233132,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00177279000183-1-000007/2025,1233133,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00177279000183-1-000008/2025,1252721,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00178956000188-1-000001/2025,1169315,2,linkProcessoEletronico;fontesOrcamentarias
00226552000112-1-000004/2025,1176021,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00237222000122-1-000009/2025,1249765,2,linkProcessoEletronico;fontesOrcamentarias
00237362000109-1-000018/2025,1233134,2,linkProcessoEletronico;fontesOrcamentarias
00237537000170-1-000030/2025,1202336,12,informacaoComplementar;modalidadeNome;situacaoCompraNome;amparoLegal_nome;linkSistemaOrigem;linkProcessoEletronico;usuarioNome;modoDisputaNome;tipoInstrumentoConvocatorioNome;fontesOrcamentarias;existeResultado;orcamentoSigilosoCodigo
00237537000170-1-000031/2025,1215685,2,linkProcessoEletronico;fontesOrcamentarias
00237537000170-1-000032/2025,1233135,2,linkProcessoEletronico;fontesOrcamentarias
00284689000123-1-000014/2025,968442,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00284689000123-1-000066/2025,1227883,2,linkProcessoEletronico;fontesOrcamentarias
00299180000154-1-000042/2025,1003516,2,linkProcessoEletronico;fontesOrcamentarias
00299180000154-1-000050/2025,1003517,2,linkProcessoEletronico;fontesOrcamentarias
00299180000154-1-000135/2025,1154787,2,linkProcessoEletronico;fontesOrcamentarias
00299388000173-1-000033/2025,1248052,2,linkProcessoEletronico;fontesOrcamentarias
00299388000173-1-000037/2025,1252722,2,linkProcessoEletronico;fontesOrcamentarias
00299388000173-1-000038/2025,1254583,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00324208000166-1-000005/2025,1093170,2,linkProcessoEletronico;fontesOrcamentarias
00333678000196-1-000005/2025,968444,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00333678000196-1-000006/2025,968445,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00333678000196-1-000015/2025,1154788,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000164/2025,1008477,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000192/2025,1158317,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000227/2025,1202338,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000233/2025,1215687,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000234/2025,1215688,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000240/2025,1228101,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000242/2025,1228103,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000247/2025,1232906,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000248/2025,1233136,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000249/2025,1233137,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000250/2025,1233138,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000251/2025,1154789,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000252/2025,1154790,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000253/2025,1154791,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000254/2025,1154792,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000258/2025,1243892,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000259/2025,1243988,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000260/2025,1243989,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000261/2025,1243990,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000262/2025,1243991,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000266/2025,1246346,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000267/2025,1246347,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000272/2025,1248135,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000273/2025,1249766,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000274/2025,1249767,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000276/2025,1252723,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000277/2025,1252724,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000278/2025,1254584,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000279/2025,1254585,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000280/2025,1254586,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000281/2025,1254587,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000282/2025,1254588,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000283/2025,1258983,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000284/2025,1259654,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000285/2025,1258984,2,linkProcessoEletronico;fontesOrcamentarias
00348003000110-1-000291/2025,1261042,2,linkProcessoEletronico;fontesOrcamentarias
00358773000144-1-000001/2025,1254589,3,informacaoComplementar;linkProcessoEletronico;fontesOrcamentarias
00368105000106-1-000063/2024,844852,3,informacaoComplementar;linkProcessoEletronico;fontesOrcamentarias
00368190000102-1-000060/2025,1254590,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00368190000102-1-000061/2025,1254591,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000001/2025,660052,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000002/2025,660053,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000003/2025,660054,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000132/2025,1254592,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000133/2025,1254593,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000134/2025,1258985,2,linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000135/2025,1259656,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00375114000116-1-000136/2025,1261834,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00378257000181-1-000027/2025,1243992,2,linkProcessoEletronico;fontesOrcamentarias
00378257000181-1-000028/2025,1261043,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000081/2025,1090960,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000122/2025,1154793,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000123/2025,1154794,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000124/2025,1243993,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000125/2025,1246348,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000128/2025,1248136,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000130/2025,1252725,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000131/2025,1252726,2,linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000132/2025,1254594,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000133/2025,1254595,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000134/2025,1254596,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000135/2025,1254597,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000136/2025,1261835,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394411000109-1-000317/2024,968446,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000007/2025,773681,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000013/2025,844853,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000014/2025,844854,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000075/2025,925422,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000080/2025,925423,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000254/2024,411562,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-000715/2025,1088970,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001008/2025,1152155,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001027/2025,1158090,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001069/2025,1169640,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001071/2025,1176022,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001090/2025,1176144,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001101/2025,1182464,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001121/2025,1182568,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001187/2023,202751,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001189/2025,1208854,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001206/2025,1215460,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001213/2025,1215461,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001214/2025,1215462,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001221/2025,1221971,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001222/2025,1221972,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001227/2025,1221977,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001235/2025,1228108,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001239/2025,1233139,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001240/2025,1233140,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001241/2025,1233141,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001242/2025,1233142,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001243/2025,1233143,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001244/2025,1233144,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001245/2025,1233145,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001247/2025,1233146,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001248/2025,1233147,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001249/2025,1233148,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001258/2025,1239528,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001265/2025,1154795,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001266/2025,1154796,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001267/2025,1154797,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001268/2025,1154798,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001269/2025,1154799,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001270/2025,1154800,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001271/2025,1154801,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001272/2025,1154802,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001273/2025,1154654,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001274/2025,1154803,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001275/2025,1154804,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001276/2025,1154805,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001277/2025,1154806,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001280/2025,1154807,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001282/2025,1154808,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001293/2025,1243994,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001294/2025,1243995,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001295/2025,1243996,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001296/2025,1243997,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001297/2025,1243998,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001298/2025,1243999,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001299/2025,1244000,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001300/2025,1244001,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001301/2025,1244002,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001312/2025,1246282,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001313/2025,1246349,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001314/2025,1246350,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001323/2025,1248137,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001324/2025,1248138,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001325/2025,1248139,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001326/2025,1248140,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001327/2025,1248141,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001328/2025,1248142,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001329/2025,1248143,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001330/2025,1248144,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001331/2025,1248145,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001332/2025,1248146,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001333/2025,1248147,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001334/2025,1248148,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001335/2025,1248149,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001336/2025,1248150,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001337/2025,1248151,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001338/2025,1248152,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001339/2025,1248153,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001340/2025,1248154,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001348/2025,1249768,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001349/2025,1249769,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001350/2025,1249770,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001351/2025,1249771,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001352/2025,1249772,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001353/2025,1249773,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001354/2025,1249774,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001357/2025,1250817,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001360/2025,1252727,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001361/2025,1252728,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001362/2025,1252729,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001363/2025,1252730,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001364/2025,1252731,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001365/2025,1252732,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001366/2025,1252733,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001367/2025,1254598,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001368/2025,1254599,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001372/2025,1258986,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001373/2025,1258987,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001374/2025,1258988,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001376/2025,1258989,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001377/2025,1259657,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001378/2025,1258990,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001379/2025,1258991,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001380/2025,1258992,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001381/2025,1258993,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001382/2025,1258994,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001389/2025,1261044,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001390/2025,1261045,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001391/2025,1261046,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001392/2025,1260978,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001393/2025,1261047,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001394/2025,1261048,2,linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-001990/2024,773682,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002134/2024,773685,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002228/2024,773686,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002255/2024,795298,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002364/2024,795299,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002456/2023,773687,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002468/2023,795301,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-002560/2024,795302,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429000100-1-003309/2024,1040191,2,linkProcessoEletronico;fontesOrcamentarias
00394429018409-1-000001/2025,968449,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429019391-1-000066/2024,844855,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394429019715-1-000001/2025,773688,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394445000101-1-000150/2025,1221978,2,linkProcessoEletronico;fontesOrcamentarias
00394445000101-1-000156/2025,1250818,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000011/2026,925424,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000017/2026,968450,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000033/2026,968451,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000050/2026,1003518,3,linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000051/2026,1003519,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000058/2025,458266,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000060/2025,458267,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000061/2025,458268,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000062/2025,458269,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
00394452000103-1-000066/2026,1088971,4,informacaoComplementar;linkSistemaOrigem;linkProcessoEletronico;fontesOrcamentarias
